code,date,time,price,quantity,direction,profit_loss,current_cash,currentCommission,currentMargin,contract_type
IC2203,20220314,14:00:00,6374.2,1,2,-1274840.0,10024885.35664,29.32132,-152980.8,main
IC2204,20220314,14:00:00,6072.9,1,1,1214580.0,8810277.4213,27.93534,145749.6,main
IC2204,20220411,14:00:00,6072.1,1,2,-1214420.0,10024669.48964,27.93166,-145730.4,main
IC2205,20220411,14:00:00,5772.2,1,1,1154440.0,8870202.93752,26.55212,138532.8,main
IC2205,20220516,14:00:00,5770.7,1,2,-1154140.0,10024316.392299999,26.54522,-138496.8,main
IC2206,20220516,14:00:00,6186.5,1,1,1237300.0,8786987.934399998,28.4579,148476.0,main
IC2206,20220613,14:00:00,6186.3,1,2,-1237260.0,10024219.477419998,28.45698,-148471.19999999998,main
IC2207,20220613,14:00:00,6267.7,1,1,1253540.0,8770650.645999998,28.83142,150424.8,main
IC2207,20220711,14:00:00,6265.8,1,2,-1253160.0,10023781.823319998,28.82268,-150379.19999999998,main
IC2208,20220711,14:00:00,6450.7,1,1,1290140.0,8733612.150099998,29.67322,154816.8,main
IC2208,20220815,14:00:00,6450.2,1,2,-1290040.0,10023622.479179999,29.67092,-154804.8,main
IC2209,20220815,14:00:00,6306.1,1,1,1261220.0,8762373.47112,29.00806,151346.4,main
IC2209,20220913,14:00:00,6305.4,1,2,-1261080.0,10023424.46628,29.00484,-151329.6,main
IC2210,20220913,14:00:00,6002.4,1,1,1200480.0,8822916.85524,27.61104,144057.6,main
