code,date,time,price,quantity,direction,profit_loss,current_cash,currentCommission,currentMargin,contract_type
IC2001,20200101,14:00:00,5376.2,1,1,1075240.0,8924735.26948,24.73052,129028.79999999999,main
IC2001,20200113,14:00:00,5534.0,1,2,-1106800.0,10031509.81308,25.4564,-132816.0,main
IC2002,20200113,14:00:00,5518.4,1,1,1103680.0,8927804.428439999,25.38464,132441.6,main
IC2002,20200217,14:00:00,5561.6,1,2,-1112320.0,10040098.84508,25.58336,-133478.4,main
IC2003,20200217,14:00:00,5523.8,1,1,1104760.0,8935313.4356,25.40948,132571.19999999998,main
IC2003,20200316,14:00:00,5228.0,1,2,-1045600.0,9980889.386799999,24.0488,-125472.0,main
IC2004,20200316,14:00:00,5170.0,1,1,1034000.0,8946865.604799999,23.782,124080.0,main
IC2004,20200413,14:00:00,5142.0,1,2,-1028400.0,9975241.951599998,23.653200000000002,-123408.0,main
IC2005,20200413,14:00:00,5081.2,1,1,1016240.0,8958978.578079998,23.37352,121948.79999999999,main
IC2005,20200511,14:00:00,5462.2,1,2,-1092440.0,10051393.45196,25.12612,-131092.8,main
IC2006,20200511,14:00:00,5381.2,1,1,1076240.0,8975128.698439999,24.75352,129148.79999999999,main
IC2006,20200615,14:00:00,5568.0,1,2,-1113600.0,10088703.085639998,25.6128,-133632.0,main
IC2007,20200615,14:00:00,5481.0,1,1,1096200.0,8992477.873039998,25.2126,131544.0,main
IC2007,20200713,14:00:00,6890.0,1,2,-1378000.0,10370446.179039998,31.694,-165360.0,main
IC2008,20200713,14:00:00,6842.8,1,1,1368560.0,9001854.702159997,31.47688,164227.19999999998,main
IC2008,20200817,14:00:00,6712.6,1,2,-1342520.0,10344343.824199997,30.87796,-161102.4,main
IC2009,20200817,14:00:00,6631.4,1,1,1326280.0,9018033.319759997,30.50444,159153.6,main
IC2009,20200914,14:00:00,6277.4,1,2,-1255480.0,10273484.443719996,28.87604,-150657.6,main
IC2010,20200914,14:00:00,6198.0,1,1,1239600.0,9033855.932919996,28.5108,148752.0,main
IC2010,20201012,14:00:00,6518.8,1,2,-1303760.0,10337585.946439996,29.98648,-156451.19999999998,main
IC2011,20201012,14:00:00,6433.0,1,1,1286600.0,9050956.354639996,29.5918,154392.0,main
IC2011,20201116,14:00:00,6357.2,1,2,-1271440.0,10322367.111519996,29.24312,-152572.8,main
IC2012,20201116,14:00:00,6280.2,1,1,1256040.0,9066298.222599996,28.88892,150724.8,main
IC2012,20201214,14:00:00,6216.4,1,2,-1243280.0,10309549.627159996,28.59544,-149193.6,main
IC2101,20201214,14:00:00,6161.4,1,1,1232280.0,9077241.284719996,28.34244,147873.6,main
IC2101,20210111,14:00:00,6447.8,1,2,-1289560.0,10366771.624839997,29.65988,-154747.19999999998,main
IC2102,20210111,14:00:00,6388.6,1,1,1277720.0,9089022.237279996,29.38756,153326.4,main
IC2102,20210218,14:00:00,6598.4,1,2,-1319680.0,10408671.884639997,30.35264,-158361.6,main
IC2103,20210218,14:00:00,6527.0,1,1,1305400.0,9103241.860439997,30.0242,156648.0,main
IC2103,20210315,14:00:00,6136.6,1,2,-1227320.0,10330533.632079996,28.22836,-147278.4,main
IC2104,20210315,14:00:00,6078.8,1,1,1215760.0,9114745.669599997,27.96248,145891.19999999998,main
IC2104,20210412,14:00:00,6228.6,1,2,-1245720.0,10360437.018039998,28.65156,-149486.4,main
IC2105,20210412,14:00:00,6165.6,1,1,1233120.0,9127288.656279998,28.36176,147974.4,main
IC2105,20210517,14:00:00,6564.8,1,2,-1312960.0,10440218.458199998,30.19808,-157555.19999999998,main
IC2106,20210517,14:00:00,6516.0,1,1,1303200.0,9136988.484599998,29.9736,156384.0,main
IC2106,20210615,14:00:00,6666.4,1,2,-1333280.0,10470237.819159998,30.66544,-159993.6,main
IC2107,20210615,14:00:00,6605.6,1,1,1321120.0,9149087.433399998,30.38576,158534.4,main
IC2107,20210712,14:00:00,6870.6,1,2,-1374120.0,10523175.828639997,31.60476,-164894.4,main
IC2108,20210712,14:00:00,6815.4,1,1,1363080.0,9160064.477799997,31.35084,163569.6,main
IC2108,20210816,14:00:00,7041.6,1,2,-1408320.0,10568352.086439997,32.39136,-168998.4,main
IC2109,20210816,14:00:00,6987.4,1,1,1397480.0,9170839.944399998,32.14204,167697.6,main
IC2109,20210913,14:00:00,7603.4,1,2,-1520680.0,10691484.968759997,34.97564,-182481.6,main
IC2110,20210913,14:00:00,7538.2,1,1,1507640.0,9183810.293039996,34.67572,180916.8,main
IC2110,20211011,14:00:00,7082.0,1,2,-1416400.0,10600177.715839997,32.5772,-169968.0,main
